datetime,wind_speed,wind_dir,wind_source,stability
2024-01-01 00:00:00,0.5,0,synthetic,A
2024-01-01 00:30:00,0.5,0,synthetic,B
2024-01-01 01:00:00,0.5,0,synthetic,C
2024-01-01 01:30:00,0.5,0,synthetic,D
2024-01-01 02:00:00,0.5,0,synthetic,E
2024-01-01 02:30:00,0.5,0,synthetic,F
2024-01-01 03:00:00,0.5,1,synthetic,A
2024-01-01 03:30:00,0.5,1,synthetic,B
2024-01-01 04:00:00,0.5,1,synthetic,C
2024-01-01 04:30:00,0.5,1,synthetic,D
2024-01-01 05:00:00,0.5,1,synthetic,E
2024-01-01 05:30:00,0.5,1,synthetic,F
2024-01-01 06:00:00,0.5,2,synthetic,A
2024-01-01 06:30:00,0.5,2,synthetic,B
2024-01-01 07:00:00,0.5,2,synthetic,C
2024-01-01 07:30:00,0.5,2,synthetic,D
2024-01-01 08:00:00,0.5,2,synthetic,E
2024-01-01 08:30:00,0.5,2,synthetic,F
2024-01-01 09:00:00,0.5,3,synthetic,A
2024-01-01 09:30:00,0.5,3,synthetic,B
2024-01-01 10:00:00,0.5,3,synthetic,C
2024-01-01 10:30:00,0.5,3,synthetic,D
2024-01-01 11:00:00,0.5,3,synthetic,E
2024-01-01 11:30:00,0.5,3,synthetic,F
2024-01-01 12:00:00,0.5,4,synthetic,A
2024-01-01 12:30:00,0.5,4,synthetic,B
2024-01-01 13:00:00,0.5,4,synthetic,C
2024-01-01 13:30:00,0.5,4,synthetic,D
2024-01-01 14:00:00,0.5,4,synthetic,E
2024-01-01 14:30:00,0.5,4,synthetic,F
2024-01-01 15:00:00,0.5,5,synthetic,A
2024-01-01 15:30:00,0.5,5,synthetic,B
2024-01-01 16:00:00,0.5,5,synthetic,C
2024-01-01 16:30:00,0.5,5,synthetic,D
2024-01-01 17:00:00,0.5,5,synthetic,E
2024-01-01 17:30:00,0.5,5,synthetic,F
2024-01-01 18:00:00,0.5,6,synthetic,A
2024-01-01 18:30:00,0.5,6,synthetic,B
2024-01-01 19:00:00,0.5,6,synthetic,C
2024-01-01 19:30:00,0.5,6,synthetic,D
2024-01-01 20:00:00,0.5,6,synthetic,E
2024-01-01 20:30:00,0.5,6,synthetic,F
2024-01-01 21:00:00,0.5,7,synthetic,A
2024-01-01 21:30:00,0.5,7,synthetic,B
2024-01-01 22:00:00,0.5,7,synthetic,C
2024-01-01 22:30:00,0.5,7,synthetic,D
2024-01-01 23:00:00,0.5,7,synthetic,E
2024-01-01 23:30:00,0.5,7,synthetic,F
2024-01-02 00:00:00,0.5,8,synthetic,A
2024-01-02 00:30:00,0.5,8,synthetic,B
2024-01-02 01:00:00,0.5,8,synthetic,C
2024-01-02 01:30:00,0.5,8,synthetic,D
2024-01-02 02:00:00,0.5,8,synthetic,E
2024-01-02 02:30:00,0.5,8,synthetic,F
2024-01-02 03:00:00,0.5,9,synthetic,A
2024-01-02 03:30:00,0.5,9,synthetic,B
2024-01-02 04:00:00,0.5,9,synthetic,C
2024-01-02 04:30:00,0.5,9,synthetic,D
2024-01-02 05:00:00,0.5,9,synthetic,E
2024-01-02 05:30:00,0.5,9,synthetic,F
2024-01-02 06:00:00,0.5,10,synthetic,A
2024-01-02 06:30:00,0.5,10,synthetic,B
2024-01-02 07:00:00,0.5,10,synthetic,C
2024-01-02 07:30:00,0.5,10,synthetic,D
2024-01-02 08:00:00,0.5,10,synthetic,E
2024-01-02 08:30:00,0.5,10,synthetic,F
2024-01-02 09:00:00,0.5,11,synthetic,A
2024-01-02 09:30:00,0.5,11,synthetic,B
2024-01-02 10:00:00,0.5,11,synthetic,C
2024-01-02 10:30:00,0.5,11,synthetic,D
2024-01-02 11:00:00,0.5,11,synthetic,E
2024-01-02 11:30:00,0.5,11,synthetic,F
2024-01-02 12:00:00,0.5,12,synthetic,A
2024-01-02 12:30:00,0.5,12,synthetic,B
2024-01-02 13:00:00,0.5,12,synthetic,C
2024-01-02 13:30:00,0.5,12,synthetic,D
2024-01-02 14:00:00,0.5,12,synthetic,E
2024-01-02 14:30:00,0.5,12,synthetic,F
2024-01-02 15:00:00,0.5,13,synthetic,A
2024-01-02 15:30:00,0.5,13,synthetic,B
2024-01-02 16:00:00,0.5,13,synthetic,C
2024-01-02 16:30:00,0.5,13,synthetic,D
2024-01-02 17:00:00,0.5,13,synthetic,E
2024-01-02 17:30:00,0.5,13,synthetic,F
2024-01-02 18:00:00,0.5,14,synthetic,A
2024-01-02 18:30:00,0.5,14,synthetic,B
2024-01-02 19:00:00,0.5,14,synthetic,C
2024-01-02 19:30:00,0.5,14,synthetic,D
2024-01-02 20:00:00,0.5,14,synthetic,E
2024-01-02 20:30:00,0.5,14,synthetic,F
2024-01-02 21:00:00,0.5,15,synthetic,A
2024-01-02 21:30:00,0.5,15,synthetic,B
2024-01-02 22:00:00,0.5,15,synthetic,C
2024-01-02 22:30:00,0.5,15,synthetic,D
2024-01-02 23:00:00,0.5,15,synthetic,E
2024-01-02 23:30:00,0.5,15,synthetic,F
2024-01-03 00:00:00,0.5,16,synthetic,A
2024-01-03 00:30:00,0.5,16,synthetic,B
2024-01-03 01:00:00,0.5,16,synthetic,C
2024-01-03 01:30:00,0.5,16,synthetic,D
2024-01-03 02:00:00,0.5,16,synthetic,E
2024-01-03 02:30:00,0.5,16,synthetic,F
2024-01-03 03:00:00,0.5,17,synthetic,A
2024-01-03 03:30:00,0.5,17,synthetic,B
2024-01-03 04:00:00,0.5,17,synthetic,C
2024-01-03 04:30:00,0.5,17,synthetic,D
2024-01-03 05:00:00,0.5,17,synthetic,E
2024-01-03 05:30:00,0.5,17,synthetic,F
2024-01-03 06:00:00,0.5,18,synthetic,A
2024-01-03 06:30:00,0.5,18,synthetic,B
2024-01-03 07:00:00,0.5,18,synthetic,C
2024-01-03 07:30:00,0.5,18,synthetic,D
2024-01-03 08:00:00,0.5,18,synthetic,E
2024-01-03 08:30:00,0.5,18,synthetic,F
2024-01-03 09:00:00,0.5,19,synthetic,A
2024-01-03 09:30:00,0.5,19,synthetic,B
2024-01-03 10:00:00,0.5,19,synthetic,C
2024-01-03 10:30:00,0.5,19,synthetic,D
2024-01-03 11:00:00,0.5,19,synthetic,E
2024-01-03 11:30:00,0.5,19,synthetic,F
2024-01-03 12:00:00,0.5,20,synthetic,A
2024-01-03 12:30:00,0.5,20,synthetic,B
2024-01-03 13:00:00,0.5,20,synthetic,C
2024-01-03 13:30:00,0.5,20,synthetic,D
2024-01-03 14:00:00,0.5,20,synthetic,E
2024-01-03 14:30:00,0.5,20,synthetic,F
2024-01-03 15:00:00,0.5,21,synthetic,A
2024-01-03 15:30:00,0.5,21,synthetic,B
2024-01-03 16:00:00,0.5,21,synthetic,C
2024-01-03 16:30:00,0.5,21,synthetic,D
2024-01-03 17:00:00,0.5,21,synthetic,E
2024-01-03 17:30:00,0.5,21,synthetic,F
2024-01-03 18:00:00,0.5,22,synthetic,A
2024-01-03 18:30:00,0.5,22,synthetic,B
2024-01-03 19:00:00,0.5,22,synthetic,C
2024-01-03 19:30:00,0.5,22,synthetic,D
2024-01-03 20:00:00,0.5,22,synthetic,E
2024-01-03 20:30:00,0.5,22,synthetic,F
2024-01-03 21:00:00,0.5,23,synthetic,A
2024-01-03 21:30:00,0.5,23,synthetic,B
2024-01-03 22:00:00,0.5,23,synthetic,C
2024-01-03 22:30:00,0.5,23,synthetic,D
2024-01-03 23:00:00,0.5,23,synthetic,E
2024-01-03 23:30:00,0.5,23,synthetic,F
2024-01-04 00:00:00,0.5,24,synthetic,A
2024-01-04 00:30:00,0.5,24,synthetic,B
2024-01-04 01:00:00,0.5,24,synthetic,C
2024-01-04 01:30:00,0.5,24,synthetic,D
2024-01-04 02:00:00,0.5,24,synthetic,E
2024-01-04 02:30:00,0.5,24,synthetic,F
2024-01-04 03:00:00,0.5,25,synthetic,A
2024-01-04 03:30:00,0.5,25,synthetic,B
2024-01-04 04:00:00,0.5,25,synthetic,C
2024-01-04 04:30:00,0.5,25,synthetic,D
2024-01-04 05:00:00,0.5,25,synthetic,E
2024-01-04 05:30:00,0.5,25,synthetic,F
2024-01-04 06:00:00,0.5,26,synthetic,A
2024-01-04 06:30:00,0.5,26,synthetic,B
2024-01-04 07:00:00,0.5,26,synthetic,C
2024-01-04 07:30:00,0.5,26,synthetic,D
2024-01-04 08:00:00,0.5,26,synthetic,E
2024-01-04 08:30:00,0.5,26,synthetic,F
2024-01-04 09:00:00,0.5,27,synthetic,A
2024-01-04 09:30:00,0.5,27,synthetic,B
2024-01-04 10:00:00,0.5,27,synthetic,C
2024-01-04 10:30:00,0.5,27,synthetic,D
2024-01-04 11:00:00,0.5,27,synthetic,E
2024-01-04 11:30:00,0.5,27,synthetic,F
2024-01-04 12:00:00,0.5,28,synthetic,A
2024-01-04 12:30:00,0.5,28,synthetic,B
2024-01-04 13:00:00,0.5,28,synthetic,C
2024-01-04 13:30:00,0.5,28,synthetic,D
2024-01-04 14:00:00,0.5,28,synthetic,E
2024-01-04 14:30:00,0.5,28,synthetic,F
2024-01-04 15:00:00,0.5,29,synthetic,A
2024-01-04 15:30:00,0.5,29,synthetic,B
2024-01-04 16:00:00,0.5,29,synthetic,C
2024-01-04 16:30:00,0.5,29,synthetic,D
2024-01-04 17:00:00,0.5,29,synthetic,E
2024-01-04 17:30:00,0.5,29,synthetic,F
2024-01-04 18:00:00,0.5,30,synthetic,A
2024-01-04 18:30:00,0.5,30,synthetic,B
2024-01-04 19:00:00,0.5,30,synthetic,C
2024-01-04 19:30:00,0.5,30,synthetic,D
2024-01-04 20:00:00,0.5,30,synthetic,E
2024-01-04 20:30:00,0.5,30,synthetic,F
2024-01-04 21:00:00,0.5,31,synthetic,A
2024-01-04 21:30:00,0.5,31,synthetic,B
2024-01-04 22:00:00,0.5,31,synthetic,C
2024-01-04 22:30:00,0.5,31,synthetic,D
2024-01-04 23:00:00,0.5,31,synthetic,E
2024-01-04 23:30:00,0.5,31,synthetic,F
2024-01-05 00:00:00,0.5,32,synthetic,A
2024-01-05 00:30:00,0.5,32,synthetic,B
2024-01-05 01:00:00,0.5,32,synthetic,C
2024-01-05 01:30:00,0.5,32,synthetic,D
2024-01-05 02:00:00,0.5,32,synthetic,E
2024-01-05 02:30:00,0.5,32,synthetic,F
2024-01-05 03:00:00,0.5,33,synthetic,A
2024-01-05 03:30:00,0.5,33,synthetic,B
2024-01-05 04:00:00,0.5,33,synthetic,C
2024-01-05 04:30:00,0.5,33,synthetic,D
2024-01-05 05:00:00,0.5,33,synthetic,E
2024-01-05 05:30:00,0.5,33,synthetic,F
2024-01-05 06:00:00,0.5,34,synthetic,A
2024-01-05 06:30:00,0.5,34,synthetic,B
2024-01-05 07:00:00,0.5,34,synthetic,C
2024-01-05 07:30:00,0.5,34,synthetic,D
2024-01-05 08:00:00,0.5,34,synthetic,E
2024-01-05 08:30:00,0.5,34,synthetic,F
2024-01-05 09:00:00,0.5,35,synthetic,A
2024-01-05 09:30:00,0.5,35,synthetic,B
2024-01-05 10:00:00,0.5,35,synthetic,C
2024-01-05 10:30:00,0.5,35,synthetic,D
2024-01-05 11:00:00,0.5,35,synthetic,E
2024-01-05 11:30:00,0.5,35,synthetic,F
2024-01-05 12:00:00,0.5,36,synthetic,A
2024-01-05 12:30:00,0.5,36,synthetic,B
2024-01-05 13:00:00,0.5,36,synthetic,C
2024-01-05 13:30:00,0.5,36,synthetic,D
2024-01-05 14:00:00,0.5,36,synthetic,E
2024-01-05 14:30:00,0.5,36,synthetic,F
2024-01-05 15:00:00,0.5,37,synthetic,A
2024-01-05 15:30:00,0.5,37,synthetic,B
2024-01-05 16:00:00,0.5,37,synthetic,C
2024-01-05 16:30:00,0.5,37,synthetic,D
2024-01-05 17:00:00,0.5,37,synthetic,E
2024-01-05 17:30:00,0.5,37,synthetic,F
2024-01-05 18:00:00,0.5,38,synthetic,A
2024-01-05 18:30:00,0.5,38,synthetic,B
2024-01-05 19:00:00,0.5,38,synthetic,C
2024-01-05 19:30:00,0.5,38,synthetic,D
2024-01-05 20:00:00,0.5,38,synthetic,E
2024-01-05 20:30:00,0.5,38,synthetic,F
2024-01-05 21:00:00,0.5,39,synthetic,A
2024-01-05 21:30:00,0.5,39,synthetic,B
2024-01-05 22:00:00,0.5,39,synthetic,C
2024-01-05 22:30:00,0.5,39,synthetic,D
2024-01-05 23:00:00,0.5,39,synthetic,E
2024-01-05 23:30:00,0.5,39,synthetic,F
2024-01-06 00:00:00,0.5,40,synthetic,A
2024-01-06 00:30:00,0.5,40,synthetic,B
2024-01-06 01:00:00,0.5,40,synthetic,C
2024-01-06 01:30:00,0.5,40,synthetic,D
2024-01-06 02:00:00,0.5,40,synthetic,E
2024-01-06 02:30:00,0.5,40,synthetic,F
2024-01-06 03:00:00,0.5,41,synthetic,A
2024-01-06 03:30:00,0.5,41,synthetic,B
2024-01-06 04:00:00,0.5,41,synthetic,C
2024-01-06 04:30:00,0.5,41,synthetic,D
2024-01-06 05:00:00,0.5,41,synthetic,E
2024-01-06 05:30:00,0.5,41,synthetic,F
2024-01-06 06:00:00,0.5,42,synthetic,A
2024-01-06 06:30:00,0.5,42,synthetic,B
2024-01-06 07:00:00,0.5,42,synthetic,C
2024-01-06 07:30:00,0.5,42,synthetic,D
2024-01-06 08:00:00,0.5,42,synthetic,E
2024-01-06 08:30:00,0.5,42,synthetic,F
2024-01-06 09:00:00,0.5,43,synthetic,A
2024-01-06 09:30:00,0.5,43,synthetic,B
2024-01-06 10:00:00,0.5,43,synthetic,C
2024-01-06 10:30:00,0.5,43,synthetic,D
2024-01-06 11:00:00,0.5,43,synthetic,E
2024-01-06 11:30:00,0.5,43,synthetic,F
2024-01-06 12:00:00,0.5,44,synthetic,A
2024-01-06 12:30:00,0.5,44,synthetic,B
2024-01-06 13:00:00,0.5,44,synthetic,C
2024-01-06 13:30:00,0.5,44,synthetic,D
2024-01-06 14:00:00,0.5,44,synthetic,E
2024-01-06 14:30:00,0.5,44,synthetic,F
2024-01-06 15:00:00,0.5,45,synthetic,A
2024-01-06 15:30:00,0.5,45,synthetic,B
2024-01-06 16:00:00,0.5,45,synthetic,C
2024-01-06 16:30:00,0.5,45,synthetic,D
2024-01-06 17:00:00,0.5,45,synthetic,E
2024-01-06 17:30:00,0.5,45,synthetic,F
2024-01-06 18:00:00,0.5,46,synthetic,A
2024-01-06 18:30:00,0.5,46,synthetic,B
2024-01-06 19:00:00,0.5,46,synthetic,C
2024-01-06 19:30:00,0.5,46,synthetic,D
2024-01-06 20:00:00,0.5,46,synthetic,E
2024-01-06 20:30:00,0.5,46,synthetic,F
2024-01-06 21:00:00,0.5,47,synthetic,A
2024-01-06 21:30:00,0.5,47,synthetic,B
2024-01-06 22:00:00,0.5,47,synthetic,C
2024-01-06 22:30:00,0.5,47,synthetic,D
2024-01-06 23:00:00,0.5,47,synthetic,E
2024-01-06 23:30:00,0.5,47,synthetic,F
2024-01-07 00:00:00,0.5,48,synthetic,A
2024-01-07 00:30:00,0.5,48,synthetic,B
2024-01-07 01:00:00,0.5,48,synthetic,C
2024-01-07 01:30:00,0.5,48,synthetic,D
2024-01-07 02:00:00,0.5,48,synthetic,E
2024-01-07 02:30:00,0.5,48,synthetic,F
2024-01-07 03:00:00,0.5,49,synthetic,A
2024-01-07 03:30:00,0.5,49,synthetic,B
2024-01-07 04:00:00,0.5,49,synthetic,C
2024-01-07 04:30:00,0.5,49,synthetic,D
2024-01-07 05:00:00,0.5,49,synthetic,E
2024-01-07 05:30:00,0.5,49,synthetic,F
2024-01-07 06:00:00,0.5,50,synthetic,A
2024-01-07 06:30:00,0.5,50,synthetic,B
2024-01-07 07:00:00,0.5,50,synthetic,C
2024-01-07 07:30:00,0.5,50,synthetic,D
